20201,Cosmote,Greece
20205,Vodafone,Greece
20209,Q-Telecom,Greece
20210,Telestet,Greece
20404,Vodafone,Netherlands
20408,KPN,Netherlands
20412,O2,Netherlands
20416,T-Mobile,Netherlands
20420,Orange,Netherlands
20601,Proximus,Belgium
20610,Mobistar,Belgium
20620,Base,Belgium
20801,Orange,France
20810,SFR,France
20820,Bouygtel Telecom,France
21303,S.T.A. MobilAnd,Andorra
21401,Vodafone,Spain
21402,Movistar,Spain
21403,Orange,Spain
21407,Movistar,Spain
21601,Pannon GSM,Hungary
21630,Westel 900 GSM Mobile,Hungary
21670,Vodafone,Hungary
21803,Eronet,Bosnia Herzegovina
21805,Mobi's,Bosnia Herzegovina
21890,GSM BIH,Bosnia Herzegovina
21901,T-Mobile Hrvtaska,Croatia
21902,Tele2,Croatia
21910,VIP,Croatia
22001,MOBTEL,Yugoslavia
22002,ProMonte GSM,Yugoslavia
22003,03,Yugoslavia
22004,Monet,Yugoslavia
22201,Telecom Italia Mobile TIM,Italy
22210,Vodafone,Italy
22288,Wind Telecomunicazioni,Italy
22298,BLU,Italy
22299,3,Italy
22601,MobiFon CONNEX GSM,Romania
22603,Cosmorom,Romania
22610,Mobil Rom DIALOG,Romania
22801,Swisscom NATEL,Switzerland
22802,Sunrise,Switzerland
22803,Orange,Switzerland
23001,T-mobile,Czech Republic
23002,EuroTel Praha,Czech Republic
23003,Oskar,Czech Republic
23101,Orange GSM,Slovak Republic
23102,EuroTel GSM,Slovak Republic
23201,MobilKom Austria A1,Austria
23203,T-Mobile,Austria
23205,Connect Austria One,Austria
23207,Tele.ring,Austria
23210,3AT,Austria
23400001,Virgin (3510i & N-Gage, IMEI 351xxx..),United Kingdom
23410,02,United Kingdom
23415,Vodafone,United Kingdom
23420,3,United Kingdom
23430,Virgin (others),United Kigndom
23430,T-Mobile,United Kingdom
23433,Orange,United Kingdom
23450,Jersey Telecom GSM,United Kingdom
23455,Guernsey Telecoms GSM,United Kingdom
23458,Manx Telecom Pronto GSM,United Kingdom
23800001,Debitel,Denmark
23801,Tele-Danmark Mobil,Denmark
23802,Sonofon,Denmark
23820,Telia Denmark,Denmark
23830,Orange,Denmark
24001,Telia Mobitel,Sweden
24002,3,Sweden
24003,Orange,Sweden
24007,Comviq GSM,Sweden
24008,Vodafone,Sweden
24201,Telenor Mobil,Norway
24202,NetCom GSM,Norway
24403,Telia Finland,Finland
24405,Radiolinja,Finland
24407,AT&T (3650 with IMEI 351102500xxxxxx),U.S.A.
24409,Finnet Group,Finland
24412,2G,Finland
24414,AMT,Finland
24491,Sonera Corporation,Finland
24601,Omnitel,Lithuania
24602,UAB Bite GSM,Lithuania
24603,Tele 2,Lithuania
24701,Latvian Mobile Tel.,Latvia
24702,Tele 2,Latvia
24801,Estonian Mobile Telephone,Estonia
24802,RadioLinja Eesti,Estonia
24803,Tele 2,Estonia
25001,MTS Moscow,Russia
25002,Megafon,Russia
25005,Siberian Cellular,Russia
25007,Zao Smarts,Russia
